"","resp_id","site","Mig_status","Reason","hh_age","hh_size","dist2park","dist_mig","PA","new_dist","education","MigrantF","PC1","PC2","Inhereted","Rented","Bought","Borrowed","Cleared","z.Mig_status","z.Reason","z.hh_age","z.hh_size","z.dist2park","z.dist_mig","z.new_dist","z.PC1","z.PC2","z.Inhereted","z.Rented","z.Bought","z.Borrowed","z.Cleared"
"1","AMB005","Zahamena",0,2,38,8,2485,0,"Established",8.828,"Low","Migrant",-0.218687588535817,-0.645152645517864,13236,0,0,0,1000.8,-1.29950955347693,-2.14476105895272,1.99637342136478,1.0973506036408,0.0437746476460603,-0.435870677499847,-0.393081768077442,-0.185938768111002,-0.717377413788913,0.0688149544035812,-0.301206564441926,-0.205374051295106,-0.420929184421018,-0.498536345368285
"2","AMB007","Zahamena",1,NA,8,4,2429,NA,"Established",NA,"Low","Non-migrant",-0.85656882570908,-0.307421386566984,7974.4,0,3691.2,8420,8838,0.763461862667698,NA,-0.472364889378424,-0.689361276646146,0.0180686535862154,NA,NA,-0.827083362102647,-0.426263885595405,-0.160370386244155,-0.301206564441926,0.0490097166321708,1.43128206805679,-0.25177681857756
"3","AMB009","Zahamena",1,NA,49,5,2315,NA,"Established",NA,"Low","Non-migrant",0.862623305276695,-2.1552291750885,0,0,0,776,149628,0.763461862667698,NA,2.90157746863729,-0.242683306574408,-0.0342614057498973,NA,NA,0.900904038340533,-2.01901501680822,-0.507720162065445,-0.301206564441926,-0.205374051295106,-0.250226579679595,4.18109126911526
"4","AMB010","Zahamena",1,NA,13,6,2262,NA,"Established",NA,"Low","Non-migrant",1.08773720784006,-2.30461792429099,0,0,11543,11106,0,0.763461862667698,NA,-0.0609085042545568,0.203994663497329,-0.0585902929851076,NA,NA,1.12716960824577,-2.14778333392475,-0.507720162065445,-0.301206564441926,0.590126553707212,2.02214185714888,-0.530047208229021
"5","AMB018","Zahamena",1,NA,16,7,2328,NA,"Established",NA,"High","Non-migrant",0.290770624759449,-0.156902971201508,1155.6,0,0,15928,16652.5,0.763461862667698,NA,0.185965326819764,0.650672633569066,-0.0282939428431476,NA,NA,0.326125798588552,-0.296521832427881,-0.457384412549609,-0.301206564441926,-0.205374051295106,3.08287376444674,-0.00573201659392789
"6","AMB020","Zahamena",1,NA,10,3,2294,NA,"Established",NA,"Low","Non-migrant",-0.767953921783867,-0.449489832536651,6695,0,2409,0,0,0.763461862667698,NA,-0.307782335328877,-1.13603924671788,-0.0439011535223391,NA,NA,-0.738015110384644,-0.548722335783499,-0.21609862952086,-0.301206564441926,-0.0393547359134389,-0.420929184421018,-0.530047208229021
"7","AMB021","Zahamena",1,NA,10,8,2358,NA,"Established",NA,"Low","Non-migrant",-1.18582760886131,-0.0596662917419072,4666,0,802,17440,0,0.763461862667698,NA,-0.307782335328877,1.0973506036408,-0.0145228745968021,NA,NA,-1.15802661068887,-0.212706929077692,-0.304478030496657,-0.301206564441926,-0.150103195779914,3.4154798705924,-0.530047208229021
"8","AMB028","Zahamena",0,4,43,7,2071,0,"Established",8.828,"Low","Migrant",-0.380688588764719,0.302188801492743,23888,0,0,578,34975,-1.29950955347693,0,2.40782980648865,0.650672633569066,-0.146266094153507,-0.435870677499847,-0.393081768077442,-0.348768554386385,0.0992005716184477,0.532795919999537,-0.301206564441926,-0.205374051295106,-0.293782141198669,0.571164251157701
"9","AMB036","Zahamena",1,NA,3,7,2475,NA,"Established",NA,"Low","Non-migrant",-0.968408388209427,-0.0148576932892244,14778,0,223,840,20577,0.763461862667698,NA,-0.883821274502292,0.650672633569066,0.0391842915639451,NA,NA,-0.939495088161947,-0.174083352363214,0.13598155682087,-0.301206564441926,-0.19000572114562,-0.236148014340096,0.11783351227993
"10","AMB039","Zahamena",1,NA,60,7,910,NA,"Established",NA,"Low","Non-migrant",0.38423486269493,-1.13976261412563,8397,0,0,0,0,0.763461862667698,NA,3.8067815159098,0.650672633569066,-0.679206435287076,NA,NA,0.42006819317823,-1.14371536511852,-0.141962729835888,-0.301206564441926,-0.205374051295106,-0.420929184421018,-0.530047208229021
"11","AMB042","Zahamena",1,NA,20,7,2203,NA,"Established",NA,"Low","Non-migrant",-0.622320617884213,-0.292215598252534,0,0,23117.2,615.5,0,0.763461862667698,NA,0.515130434918858,0.650672633569066,-0.085673393869587,NA,NA,-0.591636756454406,-0.413156983086783,-0.507720162065445,-0.301206564441926,1.38777734660488,-0.285532981820057,-0.530047208229021
"12","AMB046","Zahamena",1,NA,10,7,2293,NA,"Established",NA,"Low","Non-migrant",0.972627759283538,-1.27865182455684,59697,0,0,1579,0,0.763461862667698,NA,-0.307782335328877,0.650672633569066,-0.0443601891305506,NA,NA,1.01147126761668,-1.26343341609858,2.09256820661478,-0.301206564441926,-0.205374051295106,-0.0735845801855714,-0.530047208229021
